data_epi,uf,casos,regiao,pais
2015-02-08,AC,3.0,Norte,Brasil
2015-02-15,AC,1.0,Norte,Brasil
2015-02-22,AC,1.0,Norte,Brasil
2015-03-01,AC,1.0,Norte,Brasil
2015-03-08,AC,1.0,Norte,Brasil
2015-03-15,AC,1.0,Norte,Brasil
2015-03-22,AC,1.0,Norte,Brasil
2015-03-29,AC,1.0,Norte,Brasil
2015-04-05,AC,1.0,Norte,Brasil
2015-04-12,AC,1.0,Norte,Brasil
2015-04-19,AC,1.0,Norte,Brasil
2015-04-26,AC,1.0,Norte,Brasil
2015-05-03,AC,1.0,Norte,Brasil
2015-05-10,AC,1.0,Norte,Brasil
2015-05-17,AC,1.0,Norte,Brasil
2015-05-24,AC,1.0,Norte,Brasil
2015-05-31,AC,1.0,Norte,Brasil
2015-06-07,AC,1.0,Norte,Brasil
2015-06-14,AC,1.0,Norte,Brasil
2015-06-21,AC,1.0,Norte,Brasil
2015-06-28,AC,1.0,Norte,Brasil
2015-07-05,AC,1.0,Norte,Brasil
2015-07-12,AC,1.0,Norte,Brasil
2015-07-19,AC,1.0,Norte,Brasil
2015-07-26,AC,1.0,Norte,Brasil
2015-08-02,AC,1.0,Norte,Brasil
2015-08-09,AC,1.0,Norte,Brasil
2015-08-16,AC,1.0,Norte,Brasil
2015-08-23,AC,1.0,Norte,Brasil
2015-08-30,AC,1.0,Norte,Brasil
2015-09-06,AC,1.0,Norte,Brasil
2015-09-13,AC,1.0,Norte,Brasil
2015-09-20,AC,1.0,Norte,Brasil
2015-09-27,AC,1.0,Norte,Brasil
2015-10-04,AC,1.0,Norte,Brasil
2015-10-11,AC,1.0,Norte,Brasil
2015-10-18,AC,1.0,Norte,Brasil
2015-10-25,AC,1.0,Norte,Brasil
2015-11-01,AC,1.0,Norte,Brasil
2015-11-08,AC,1.0,Norte,Brasil
2015-11-15,AC,1.0,Norte,Brasil
2015-11-22,AC,1.0,Norte,Brasil
2015-11-29,AC,7.0,Norte,Brasil
2015-12-06,AC,6.0,Norte,Brasil
2015-12-13,AC,13.0,Norte,Brasil
2015-12-20,AC,16.0,Norte,Brasil
2015-12-27,AC,9.0,Norte,Brasil
2016-01-03,AC,9.0,Norte,Brasil
2016-01-10,AC,10.0,Norte,Brasil
2016-01-17,AC,29.0,Norte,Brasil
2016-01-24,AC,49.0,Norte,Brasil
2016-01-31,AC,16.0,Norte,Brasil
2016-02-07,AC,73.0,Norte,Brasil
2016-02-14,AC,81.0,Norte,Brasil
