data_epi,uf,casos,regiao,pais
2015-01-04,AC,58.0,Norte,Brasil
2015-01-11,AC,847.0,Norte,Brasil
2015-01-18,AC,900.0,Norte,Brasil
2015-01-25,AC,957.0,Norte,Brasil
2015-02-01,AC,753.0,Norte,Brasil
2015-02-08,AC,664.0,Norte,Brasil
2015-02-15,AC,637.0,Norte,Brasil
2015-02-22,AC,452.0,Norte,Brasil
2015-03-01,AC,523.0,Norte,Brasil
2015-03-08,AC,461.0,Norte,Brasil
2015-03-15,AC,454.0,Norte,Brasil
2015-03-22,AC,542.0,Norte,Brasil
2015-03-29,AC,550.0,Norte,Brasil
2015-04-05,AC,474.0,Norte,Brasil
2015-04-12,AC,435.0,Norte,Brasil
2015-04-19,AC,431.0,Norte,Brasil
2015-04-26,AC,375.0,Norte,Brasil
2015-05-03,AC,321.0,Norte,Brasil
2015-05-10,AC,350.0,Norte,Brasil
2015-05-17,AC,252.0,Norte,Brasil
2015-05-24,AC,287.0,Norte,Brasil
2015-05-31,AC,244.0,Norte,Brasil
2015-06-07,AC,163.0,Norte,Brasil
2015-06-14,AC,143.0,Norte,Brasil
2015-06-21,AC,133.0,Norte,Brasil
2015-06-28,AC,118.0,Norte,Brasil
2015-07-05,AC,103.0,Norte,Brasil
2015-07-12,AC,89.0,Norte,Brasil
2015-07-19,AC,79.0,Norte,Brasil
2015-07-26,AC,91.0,Norte,Brasil
2015-08-02,AC,70.0,Norte,Brasil
2015-08-09,AC,54.0,Norte,Brasil
2015-08-16,AC,56.0,Norte,Brasil
2015-08-23,AC,61.0,Norte,Brasil
2015-08-30,AC,60.0,Norte,Brasil
2015-09-06,AC,61.0,Norte,Brasil
2015-09-13,AC,51.0,Norte,Brasil
2015-09-20,AC,63.0,Norte,Brasil
2015-09-27,AC,80.0,Norte,Brasil
2015-10-04,AC,83.0,Norte,Brasil
2015-10-11,AC,59.0,Norte,Brasil
2015-10-18,AC,73.0,Norte,Brasil
2015-10-25,AC,92.0,Norte,Brasil
2015-11-01,AC,93.0,Norte,Brasil
2015-11-08,AC,71.0,Norte,Brasil
2015-11-15,AC,87.0,Norte,Brasil
2015-11-22,AC,102.0,Norte,Brasil
2015-11-29,AC,133.0,Norte,Brasil
2015-12-06,AC,137.0,Norte,Brasil
2015-12-13,AC,227.0,Norte,Brasil
2015-12-20,AC,218.0,Norte,Brasil
2015-12-27,AC,170.0,Norte,Brasil
2016-01-03,AC,170.0,Norte,Brasil
2016-01-10,AC,272.0,Norte,Brasil
2016-01-17,AC,324.0,Norte,Brasil
2016-01-24,AC,416.0,Norte,Brasil
2016-01-31,AC,456.0,Norte,Brasil
2016-02-07,AC,677.0,Norte,Brasil
2016-02-14,AC,690.0,Norte,Brasil
2016-02-21,AC,626.0,Norte,Brasil
2016-02-28,AC,521.0,Norte,Brasil
2016-03-06,AC,534.0,Norte,Brasil
2016-03-13,AC,452.0,Norte,Brasil
2016-03-20,AC,333.0,Norte,Brasil
2016-03-27,AC,312.0,Norte,Brasil
2016-04-03,AC,330.0,Norte,Brasil
2016-04-10,AC,299.0,Norte,Brasil
2016-04-17,AC,363.0,Norte,Brasil
2016-04-24,AC,257.0,Norte,Brasil
2016-05-01,AC,212.0,Norte,Brasil
2016-05-08,AC,150.0,Norte,Brasil
2016-05-15,AC,149.0,Norte,Brasil
2016-05-22,AC,120.0,Norte,Brasil
2016-05-29,AC,84.0,Norte,Brasil
2016-06-05,AC,117.0,Norte,Brasil
2016-06-12,AC,103.0,Norte,Brasil
2016-06-19,AC,69.0,Norte,Brasil
2016-06-26,AC,74.0,Norte,Brasil
2016-07-03,AC,66.0,Norte,Brasil
2016-07-10,AC,58.0,Norte,Brasil
2016-07-17,AC,42.0,Norte,Brasil
2016-07-24,AC,51.0,Norte,Brasil
2016-07-31,AC,31.0,Norte,Brasil
2016-08-07,AC,42.0,Norte,Brasil
2016-08-14,AC,33.0,Norte,Brasil
2016-08-21,AC,21.0,Norte,Brasil
2016-08-28,AC,47.0,Norte,Brasil
2016-09-04,AC,32.0,Norte,Brasil
2016-09-11,AC,22.0,Norte,Brasil
2016-09-18,AC,27.0,Norte,Brasil
2016-09-25,AC,38.0,Norte,Brasil
2016-10-02,AC,26.0,Norte,Brasil
2016-10-09,AC,27.0,Norte,Brasil
2016-10-16,AC,25.0,Norte,Brasil
2016-10-23,AC,34.0,Norte,Brasil
2016-10-30,AC,27.0,Norte,Brasil
2016-11-06,AC,35.0,Norte,Brasil
2016-11-13,AC,42.0,Norte,Brasil
2016-11-20,AC,49.0,Norte,Brasil
2016-11-27,AC,73.0,Norte,Brasil
2016-12-04,AC,71.0,Norte,Brasil
2016-12-11,AC,89.0,Norte,Brasil
2016-12-18,AC,72.0,Norte,Brasil
2016-12-25,AC,93.0,Norte,Brasil
2017-01-01,AC,94.0,Norte,Brasil
2017-01-08,AC,126.0,Norte,Brasil
2017-01-15,AC,151.0,Norte,Brasil
2017-01-22,AC,224.0,Norte,Brasil
2017-01-29,AC,223.0,Norte,Brasil
2017-02-05,AC,253.0,Norte,Brasil
2017-02-12,AC,208.0,Norte,Brasil
2017-02-19,AC,228.0,Norte,Brasil
2017-02-26,AC,196.0,Norte,Brasil
2017-03-05,AC,127.0,Norte,Brasil
2017-03-12,AC,171.0,Norte,Brasil
2017-03-19,AC,155.0,Norte,Brasil
2017-03-26,AC,126.0,Norte,Brasil
2017-04-02,AC,121.0,Norte,Brasil
2017-04-09,AC,129.0,Norte,Brasil
2017-04-16,AC,104.0,Norte,Brasil
2017-04-23,AC,81.0,Norte,Brasil
2017-04-30,AC,92.0,Norte,Brasil
2017-05-07,AC,58.0,Norte,Brasil
2017-05-14,AC,76.0,Norte,Brasil
2017-05-21,AC,91.0,Norte,Brasil
2017-05-28,AC,69.0,Norte,Brasil
2017-06-04,AC,71.0,Norte,Brasil
2017-06-11,AC,70.0,Norte,Brasil
2017-06-18,AC,44.0,Norte,Brasil
2017-06-25,AC,52.0,Norte,Brasil
2017-07-02,AC,51.0,Norte,Brasil
2017-07-09,AC,43.0,Norte,Brasil
2017-07-16,AC,38.0,Norte,Brasil
2017-07-23,AC,38.0,Norte,Brasil
2017-07-30,AC,37.0,Norte,Brasil
2017-08-06,AC,66.0,Norte,Brasil
2017-08-13,AC,34.0,Norte,Brasil
2017-08-20,AC,27.0,Norte,Brasil
2017-08-27,AC,27.0,Norte,Brasil
2017-09-03,AC,37.0,Norte,Brasil
2017-09-10,AC,21.0,Norte,Brasil
2017-09-17,AC,37.0,Norte,Brasil
2017-09-24,AC,29.0,Norte,Brasil
2017-10-01,AC,27.0,Norte,Brasil
2017-10-08,AC,45.0,Norte,Brasil
2017-10-15,AC,44.0,Norte,Brasil
2017-10-22,AC,57.0,Norte,Brasil
2017-10-29,AC,64.0,Norte,Brasil
2017-11-05,AC,56.0,Norte,Brasil
2017-11-12,AC,67.0,Norte,Brasil
2017-11-19,AC,105.0,Norte,Brasil
2017-11-26,AC,138.0,Norte,Brasil
2017-12-03,AC,153.0,Norte,Brasil
2017-12-10,AC,187.0,Norte,Brasil
2017-12-17,AC,221.0,Norte,Brasil
2017-12-24,AC,181.0,Norte,Brasil
2017-12-31,AC,198.0,Norte,Brasil
2018-01-07,AC,253.0,Norte,Brasil
2018-01-14,AC,289.0,Norte,Brasil
2018-01-21,AC,286.0,Norte,Brasil
2018-01-28,AC,298.0,Norte,Brasil
2018-02-04,AC,225.0,Norte,Brasil
2018-02-11,AC,239.0,Norte,Brasil
2018-02-18,AC,200.0,Norte,Brasil
2018-02-25,AC,281.0,Norte,Brasil
2018-03-04,AC,224.0,Norte,Brasil
2018-03-11,AC,222.0,Norte,Brasil
2018-03-18,AC,208.0,Norte,Brasil
